Traceback (most recent call last):
  File "/home/vboxuser/Desktop/waf_blocker/server.py", line 653, in <module>
    main()
  File "/home/vboxuser/Desktop/waf_blocker/server.py", line 643, in main
    rc = cmd_serve()
  File "/home/vboxuser/Desktop/waf_blocker/server.py", line 592, in cmd_serve
    run_server_foreground()
  File "/home/vboxuser/Desktop/waf_blocker/server.py", line 524, in run_server_foreground
    server = ServerWrapper(host, port)
  File "/home/vboxuser/Desktop/waf_blocker/server.py", line 477, in __init__
    self.server = ThreadingHTTPServer((host, port), APIHandler)
  File "/usr/lib/python3.10/socketserver.py", line 452, in __init__
    self.server_bind()
  File "/usr/lib/python3.10/http/server.py", line 137, in server_bind
    socketserver.TCPServer.server_bind(self)
  File "/usr/lib/python3.10/socketserver.py", line 466, in server_bind
    self.socket.bind(self.server_address)
OSError: [Errno 98] Address already in use
2025-08-11T06:39:34.421342+00:00 Service failed to start within timeout
2025-08-11T06:54:00.574551+00:00 Port 127.0.0.1:8085 is already in use.
Port 127.0.0.1:8085 is already in use.
2025-08-11T06:54:05.926565+00:00 Service failed to start within timeout
2025-08-11T06:56:34.260419+00:00 Service listening on http://127.0.0.1:8085 (config=/home/vboxuser/Desktop/waf_blocker/config.yml)
2025-08-11T06:59:01.661039+00:00 "GET /dashboard HTTP/1.1" 200 -
2025-08-11T06:59:02.136355+00:00 "GET /static/style.css HTTP/1.1" 200 -
2025-08-11T06:59:02.139849+00:00 "GET /static/main.js HTTP/1.1" 200 -
2025-08-11T06:59:02.500593+00:00 "GET /status HTTP/1.1" 200 -
2025-08-11T06:59:02.503964+00:00 "GET /api/summary?period=day&date=2025-08-11 HTTP/1.1" 200 -
2025-08-11T06:59:02.504455+00:00 "GET /logs?tail=200 HTTP/1.1" 200 -
2025-08-11T06:59:02.504202+00:00 "GET /api/csv/list HTTP/1.1" 200 -
2025-08-11T06:59:02.521490+00:00 "GET /favicon.ico HTTP/1.1" 204 -
2025-08-11T06:59:07.640449+00:00 "GET /status HTTP/1.1" 200 -
2025-08-11T06:59:08.655611+00:00 "GET /run?apply=0 HTTP/1.1" 200 -
2025-08-11T06:59:08.666357+00:00 "GET /status HTTP/1.1" 200 -
2025-08-11T06:59:08.678655+00:00 "GET /logs?tail=200 HTTP/1.1" 200 -
2025-08-11T06:59:08.692063+00:00 "GET /api/summary?period=day&date=2025-08-11 HTTP/1.1" 200 -
2025-08-11T06:59:09.003054+00:00 "GET /run?apply=0 HTTP/1.1" 200 -
2025-08-11T06:59:09.019146+00:00 "GET /status HTTP/1.1" 200 -
2025-08-11T06:59:09.030092+00:00 "GET /logs?tail=200 HTTP/1.1" 200 -
2025-08-11T06:59:09.055474+00:00 "GET /api/summary?period=day&date=2025-08-11 HTTP/1.1" 200 -
2025-08-11T06:59:09.447594+00:00 "GET /logs?tail=200 HTTP/1.1" 200 -
2025-08-11T06:59:12.709505+00:00 "GET /status HTTP/1.1" 200 -
2025-08-11T06:59:16.455582+00:00 "GET /logs?tail=200 HTTP/1.1" 200 -
2025-08-11T06:59:17.712944+00:00 "GET /status HTTP/1.1" 200 -
2025-08-11T06:59:23.126149+00:00 "GET /status HTTP/1.1" 200 -
2025-08-11T06:59:23.459211+00:00 "GET /logs?tail=200 HTTP/1.1" 200 -
2025-08-11T06:59:28.119840+00:00 "GET /status HTTP/1.1" 200 -
2025-08-11T06:59:30.456803+00:00 "GET /logs?tail=200 HTTP/1.1" 200 -
2025-08-11T06:59:33.205524+00:00 "GET /status HTTP/1.1" 200 -
2025-08-11T07:01:48.482204+00:00 "GET /dashboard HTTP/1.1" 200 -
2025-08-11T07:01:49.245850+00:00 "GET /static/style.css HTTP/1.1" 200 -
2025-08-11T07:01:49.254654+00:00 "GET /static/main.js HTTP/1.1" 200 -
